

Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 1

| Sub-Intervals| 		| -1.08 -- 0 |
| List M0 |   		          | 597 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info
0.260	0.500	1.000	-1.082	0.000	716	  15	 81	2	12	 inf	   47.917	   10.138	   0.663	  10.834	 4	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 1	0	12	 inf	   47.917	   9.258	   0.659	  9.950	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 1	1	12	 inf	   47.917	   9.407	   0.651	  10.090	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 1	2	12	 inf	   47.917	   9.361	   0.671	  10.076	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 81	0	12	 inf	   47.917	   9.359	   0.660	  10.057	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 81	1	12	 inf	   47.917	   9.460	   0.668	  10.168	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  8	 81	2	12	 inf	   47.917	   9.430	   0.671	  10.144	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 1	0	12	 inf	   47.917	   9.396	   0.680	  10.126	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 1	1	12	 inf	   47.917	   9.361	   0.674	  10.081	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 1	2	12	 inf	   47.917	   9.407	   0.666	  10.111	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 81	0	12	 inf	   47.917	   9.384	   0.683	  10.111	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 81	1	12	 inf	   47.917	   9.396	   0.675	  10.111	 3	571	0
0.260	0.500	1.000	-1.082	0.000	835	  15	 81	2	12	 inf	   47.917	   9.400	   0.676	  10.121	 3	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 1	0	12	 inf	   47.917	   8.066	   0.675	  8.784	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 1	1	12	 inf	   47.917	   8.043	   0.672	  8.757	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 1	2	12	 inf	   47.917	   8.044	   0.670	  8.756	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 81	0	12	 inf	   47.917	   8.044	   0.670	  8.753	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 81	1	12	 inf	   47.917	   7.945	   0.665	  8.647	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  8	 81	2	12	 inf	   47.917	   7.932	   0.664	  8.630	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 1	0	12	 inf	   47.917	   8.039	   0.665	  8.738	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 1	1	12	 inf	   47.917	   8.088	   0.665	  8.787	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 1	2	12	 inf	   47.917	   8.090	   0.675	  8.807	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 81	0	12	 inf	   47.917	   8.038	   0.674	  8.756	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 81	1	12	 inf	   47.917	   8.023	   0.675	  8.741	 2	571	0
0.260	0.500	1.000	-1.082	0.000	955	  15	 81	2	12	 inf	   47.917	   8.021	   0.686	  8.757	 2	571	0
0.260	0.500	1.000	-1.082	0.000	1024	  8	 1	0	12	 inf	   47.917	   8.544	   0.669	  9.252	 2	571	0


Warnning(3) :The estimated Number  of eigevalues is greater than N= 1024


Feast 3.0:  image size = 32 X 32  ,   # Sub-Intervals= 2

| Sub-Intervals| 		| -1.08 -- -0.258 -- 0 |
| List M0 |   		          | 298 -- 299 |


Parallel Feast Double

h 	 gm 	 fe 	 Emin 	 Emax 	 M0 	 #cnt 	 ratio 	 Meth 	 eps 	 PSNR0  	 PSNR 	 eig(s) 	 Split(s) 	 Total(s) 	 #iter 	 Nh % 	 info
0.260	0.500	1.000	-1.082	-0.258	298	  8	 1	0	12	 inf	   47.917	   9.492	   5.449	  15.046	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  8	 1	1	12	 inf	   47.917	   8.751	   3.615	  12.393	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  8	 1	2	12	 inf	   47.917	   8.038	   3.614	  11.680	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  8	 81	0	12	 inf	   47.917	   8.332	   3.604	  11.958	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  8	 81	1	12	 inf	   47.917	   7.992	   3.623	  11.640	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  8	 81	2	12	 inf	   47.917	   8.056	   3.609	  11.693	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 1	0	12	 inf	   47.917	   8.264	   3.604	  11.891	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 1	1	12	 inf	   47.917	   8.492	   3.605	  12.122	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 1	2	12	 inf	   47.917	   9.360	   3.655	  13.038	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 81	0	12	 inf	   47.917	   9.462	   3.677	  13.182	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 81	1	12	 inf	   47.917	   9.487	   3.680	  13.211	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	298	  15	 81	2	12	 inf	   47.917	   9.422	   3.669	  13.117	 12	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 1	0	12	 inf	   47.917	   5.927	   3.667	  9.629	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 1	1	12	 inf	   47.917	   5.877	   3.616	  9.529	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 1	2	12	 inf	   47.917	   7.115	   3.597	  10.734	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 81	0	12	 inf	   47.917	   7.134	   3.622	  10.800	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 81	1	12	 inf	   47.917	   5.894	   3.613	  9.539	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  8	 81	2	12	 inf	   47.917	   5.868	   3.618	  9.515	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 1	0	12	 inf	   47.917	   7.316	   3.608	  10.953	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 1	1	12	 inf	   47.917	   5.884	   3.682	  9.606	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 1	2	12	 inf	   47.917	   5.838	   3.678	  9.553	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 81	0	12	 inf	   47.917	   5.846	   3.680	  9.564	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 81	1	12	 inf	   47.917	   5.848	   3.664	  9.537	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	357	  15	 81	2	12	 inf	   47.917	   5.883	   3.669	  9.578	 4	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 1	0	12	 inf	   47.917	   5.258	   3.665	  8.947	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 1	1	12	 inf	   47.917	   5.002	   3.595	  8.618	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 1	2	12	 inf	   47.917	   4.623	   3.596	  8.241	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 81	0	12	 inf	   47.917	   4.844	   3.600	  8.464	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 81	1	12	 inf	   47.917	   5.616	   3.593	  9.226	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  8	 81	2	12	 inf	   47.917	   4.583	   3.601	  8.203	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 1	0	12	 inf	   47.917	   4.572	   3.600	  8.196	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 1	1	12	 inf	   47.917	   5.105	   3.600	  8.735	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 1	2	12	 inf	   47.917	   5.148	   3.596	  8.757	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 81	0	12	 inf	   47.917	   5.094	   3.597	  8.712	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 81	1	12	 inf	   47.917	   5.098	   3.589	  8.706	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	417	  15	 81	2	12	 inf	   47.917	   5.087	   3.596	  8.705	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 1	0	12	 inf	   47.917	   6.042	   3.593	  9.652	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 1	1	12	 inf	   47.917	   5.280	   3.599	  8.910	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 1	2	12	 inf	   47.917	   4.919	   3.588	  8.525	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 81	0	12	 inf	   47.917	   5.527	   3.597	  9.143	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 81	1	12	 inf	   47.917	   5.289	   3.613	  8.928	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  8	 81	2	12	 inf	   47.917	   4.857	   3.596	  8.476	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 1	0	12	 inf	   47.917	   6.178	   3.592	  9.786	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 1	1	12	 inf	   47.917	   6.037	   3.602	  9.665	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 1	2	12	 inf	   47.917	   6.096	   3.609	  9.729	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 81	0	12	 inf	   47.917	   6.069	   3.619	  9.720	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 81	1	12	 inf	   47.917	   6.141	   3.601	  9.767	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	476	  15	 81	2	12	 inf	   47.917	   6.001	   3.601	  9.629	 3	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 1	0	12	 inf	   47.917	   5.991	   3.609	  9.631	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 1	1	12	 inf	   47.917	   5.857	   3.602	  9.493	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 1	2	12	 inf	   47.917	   5.857	   3.605	  9.494	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 81	0	12	 inf	   47.917	   5.902	   3.601	  9.532	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 81	1	12	 inf	   47.917	   5.909	   3.611	  9.558	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  8	 81	2	12	 inf	   47.917	   5.842	   3.605	  9.479	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 1	0	12	 inf	   47.917	   5.930	   3.600	  9.560	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 1	1	12	 inf	   47.917	   5.962	   3.596	  9.584	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 1	2	12	 inf	   47.917	   5.816	   3.594	  9.440	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 81	0	12	 inf	   47.917	   5.865	   3.590	  9.479	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 81	1	12	 inf	   47.917	   5.871	   3.595	  9.490	 2	571	0
0.260	0.500	1.000	-1.082	-0.258	536	  15	 81	2	12	 inf	   47.917	   5.794	   3.609	  9.445	 2	571	0

Warrning : M0_Total = 597  Please change your input attributs  such that : 0 < n <  2 with  1000 > m0 > 250



                            The run.sh command was:                                 
##########################################################################################
#!/bin/bash
#SBATCH --account=k1251
#SBATCH --job-name=pfeast_nc32
#SBATCH --output=./sensTV/32/pfeast_nc_32-%j.out
#SBATCH --error=./sensTV/32/errors/pfeast_nc_32-%j.err
#SBATCH --nodes=1
#SBATCH --time=01:59:00

export MKL_NUM_THREADS=36 OMP_NUM_THREADS=36

srun --ntasks=1 --ntasks-per-node=1   ./SCSA_2D2D_dfeast_parallel   -nc 8  --data ../dat_data/img32_Lena32.dat ../dat_data/img32_Lena32.dat  -N 32 -h 0.26 -gm 0.5
srun --ntasks=2 --ntasks-per-node=2 --ntasks-per-socket=1   ./SCSA_2D2D_dfeast_parallel   -nc 8  --data ../dat_data/img32_Lena32.dat ../dat_data/img32_Lena32.dat  -N 32 -h 0.26 -gm 0.5
srun --ntasks=4 --ntasks-per-node=4 --ntasks-per-socket=2   ./SCSA_2D2D_dfeast_parallel   -nc 8  --data ../dat_data/img32_Lena32.dat ../dat_data/img32_Lena32.dat  -N 32 -h 0.26 -gm 0.5

echo""
echo""
echo "                            The run.sh command was:                                 "
echo "##########################################################################################"
cat run_32.sh
